"Indicator","Component","Location","Result","Geographic Coverage","Period"
"Cases of malaria treated","Malaria","Afghanistan","73,418","National","2017"
"Cases of malaria treated","Malaria","Afghanistan","23,553","National","2018"
"Cases of malaria treated","Malaria","Angola","6,092,332","Subnational","2018"
"Cases of malaria treated","Malaria","Angola","4,834,676","Subnational","2017"
"Cases of malaria treated","Malaria","Bangladesh","53,348","Subnational","2017"
"Cases of malaria treated","Malaria","Bangladesh","6,638","National","2018"
"Cases of malaria treated","Malaria","Benin","179,780","National","2017"
"Cases of malaria treated","Malaria","Benin","340,062","National","2018"
"Cases of malaria treated","Malaria","Bhutan","68","National","2017"
"Cases of malaria treated","Malaria","Bhutan","31","National","2018"
"Cases of malaria treated","Malaria","Bolivia (Plurinational State)","5,920","National","2018"
"Cases of malaria treated","Malaria","Bolivia (Plurinational State)","6,623","National","2017"
"Cases of malaria treated","Malaria","Burkina Faso","21,643","National","2017"
"Cases of malaria treated","Malaria","Burkina Faso","7,747,084","National","2018"
"Cases of malaria treated","Malaria","Burundi","7,878,945","Subnational","2017"
"Cases of malaria treated","Malaria","Burundi","4,903,851","National","2018"
"Cases of malaria treated","Malaria","Cape Verde","446","National","2017"
"Cases of malaria treated","Malaria","Cambodia","72,688","National","2017"
"Cases of malaria treated","Malaria","Cambodia","60,067","National","2018"
"Cases of malaria treated","Malaria","Cameroon","557,576","National","2018"
"Cases of malaria treated","Malaria","Cameroon","476,806","National","2017"
"Cases of malaria treated","Malaria","Central African Republic","501,745","Subnational","2018"
"Cases of malaria treated","Malaria","Central African Republic","345,897","Subnational","2017"
"Cases of malaria treated","Malaria","Chad","1,286,899","National","2017"
"Cases of malaria treated","Malaria","Chad","1,231,431","Subnational","2018"
"Cases of malaria treated","Malaria","Comoros","3,071","National","2017"
"Cases of malaria treated","Malaria","Comoros","19,682","National","2018"
"Cases of malaria treated","Malaria","Democratic Republic of Congo","10,197,961","Subnational","2017"
"Cases of malaria treated","Malaria","Democratic Republic of Congo","9,073,248","Subnational","2018"
"Cases of malaria treated","Malaria","Côte d'Ivoire","4,642,614","Subnational","2017"
"Cases of malaria treated","Malaria","Côte d'Ivoire","4,871,874","National","2018"
"Cases of malaria treated","Malaria","Djibouti","14,212","National","2017"
"Cases of malaria treated","Malaria","Djibouti","24,883","National","2018"
"Cases of malaria treated","Malaria","Eritrea","50,490","National","2017"
"Cases of malaria treated","Malaria","Eritrea","23,584","National","2018"
"Cases of malaria treated","Malaria","Eswatini","1,036","National","2017"
"Cases of malaria treated","Malaria","Eswatini","615","National","2018"
"Cases of malaria treated","Malaria","Ethiopia","748,601","National","2018"
"Cases of malaria treated","Malaria","Gambia","90,622","National","2018"
"Cases of malaria treated","Malaria","Gambia","69,128","National","2017"
"Cases of malaria treated","Malaria","Ghana","5,213,714","National","2017"
"Cases of malaria treated","Malaria","Ghana","3,862,330","National","2018"
"Cases of malaria treated","Malaria","Guatemala","3,673","National","2017"
"Cases of malaria treated","Malaria","Guatemala","2,785","National","2018"
"Cases of malaria treated","Malaria","Guinea","1,327,203","National","2017"
"Cases of malaria treated","Malaria","Guinea","1,546,406","National","2018"
"Cases of malaria treated","Malaria","Guinea-Bissau","157,003","National","2018"
"Cases of malaria treated","Malaria","Guinea-Bissau","121,371","National","2017"
"Cases of malaria treated","Malaria","Guyana","7,814","National","2018"
"Cases of malaria treated","Malaria","Haiti","8,296","National","2018"
"Cases of malaria treated","Malaria","Haiti","18,354","National","2017"
"Cases of malaria treated","Malaria","Honduras","651","National","2018"
"Cases of malaria treated","Malaria","India","361,738","Subnational","2017"
"Cases of malaria treated","Malaria","Indonesia","133,860","Subnational","2018"
"Cases of malaria treated","Malaria","Indonesia","245,670","Subnational","2017"
"Cases of malaria treated","Malaria","Iran (Islamic Republic)","533","National","2017"
"Cases of malaria treated","Malaria","Kenya","6,314,463","Subnational","2017"
"Cases of malaria treated","Malaria","Kenya","6,115,406","Subnational","2018"
"Cases of malaria treated","Malaria","Korea (Democratic Peoples Republic)","641","National","2018"
"Cases of malaria treated","Malaria","Korea (Democratic Peoples Republic)","3,962","National","2017"
"Cases of malaria treated","Malaria","Lao (Peoples Democratic Republic)","8,827","National","2018"
"Cases of malaria treated","Malaria","Lao (Peoples Democratic Republic)","8,938","National","2017"
"Cases of malaria treated","Malaria","Liberia","1,500,247","Subnational","2017"
"Cases of malaria treated","Malaria","Liberia","1,113,579","Subnational","2018"
"Cases of malaria treated","Malaria","Madagascar","893,163","Subnational","2018"
"Cases of malaria treated","Malaria","Madagascar","778,326","Subnational","2017"
"Cases of malaria treated","Malaria","Malawi","7,043,006","National","2018"
"Cases of malaria treated","Malaria","Malawi","6,427,474","National","2017"
"Cases of malaria treated","Malaria","Mali","1,485,690","National","2017"
"Cases of malaria treated","Malaria","Mali","1,417,096","National","2018"
"Cases of malaria treated","Malaria","Mauritania","25,416","National","2018"
"Cases of malaria treated","Malaria","Mauritania","501","National","2017"
"Cases of malaria treated","Malaria","Mozambique","8,703,517","National","2017"
"Cases of malaria treated","Malaria","Mozambique","10,064,430","National","2018"
"Cases of malaria treated","Malaria","Myanmar","53,056","National","2018"
"Cases of malaria treated","Malaria","Myanmar","72,695","National","2017"
"Cases of malaria treated","Malaria","Namibia","31,892","National","2018"
"Cases of malaria treated","Malaria","Namibia","7,009","National","2017"
"Cases of malaria treated","Malaria","Nepal","1,258","National","2017"
"Cases of malaria treated","Malaria","Nepal","1,194","National","2018"
"Cases of malaria treated","Malaria","Nicaragua","10,944","National","2017"
"Cases of malaria treated","Malaria","Nicaragua","15,934","National","2018"
"Cases of malaria treated","Malaria","Niger","2,547,161","Subnational","2017"
"Cases of malaria treated","Malaria","Niger","2,891,780","National","2018"
"Cases of malaria treated","Malaria","Nigeria","15,853,741","National","2018"
"Cases of malaria treated","Malaria","Nigeria","13,878,238","National","2017"
"Cases of malaria treated","Malaria","Pakistan","438,965","Subnational","2018"
"Cases of malaria treated","Malaria","Pakistan","255,112","Subnational","2017"
"Cases of malaria treated","Malaria","Papua New Guinea","337,480","National","2018"
"Cases of malaria treated","Malaria","Papua New Guinea","36,339","National","2017"
"Cases of malaria treated","Malaria","Philippines","3,287","Subnational","2017"
"Cases of malaria treated","Malaria","Philippines","4,559","Subnational","2018"
"Cases of malaria treated","Malaria","Rwanda","167","National","2018"
"Cases of malaria treated","Malaria","Rwanda","8","Subnational","2017"
"Cases of malaria treated","Malaria","Sao Tome and Principe","2,466","National","2017"
"Cases of malaria treated","Malaria","Sao Tome and Principe","2,940","National","2018"
"Cases of malaria treated","Malaria","Senegal","524,282","National","2018"
"Cases of malaria treated","Malaria","Senegal","424,029","National","2017"
"Cases of malaria treated","Malaria","Sierra Leone","2,080,225","National","2017"
"Cases of malaria treated","Malaria","Sierra Leone","1,291,222","National","2018"
"Cases of malaria treated","Malaria","Somalia","30,693","National","2017"
"Cases of malaria treated","Malaria","Somalia","51,819","National","2018"
"Cases of malaria treated","Malaria","South Sudan","1,097,435","National","2017"
"Cases of malaria treated","Malaria","South Sudan","76,328","National","2018"
"Cases of malaria treated","Malaria","Sri Lanka","57","National","2017"
"Cases of malaria treated","Malaria","Sri Lanka","48","National","2018"
"Cases of malaria treated","Malaria","Sudan","3,624,464","National","2017"
"Cases of malaria treated","Malaria","Sudan","23,365","National","2018"
"Cases of malaria treated","Malaria","Suriname","275","National","2018"
"Cases of malaria treated","Malaria","Suriname","492","National","2017"
"Cases of malaria treated","Malaria","United Republic of Tanzania","7,600,480","National","2018"
"Cases of malaria treated","Malaria","United Republic of Tanzania","5,828,995","National","2017"
"Cases of malaria treated","Malaria","Thailand","4,411","National","2018"
"Cases of malaria treated","Malaria","Thailand","17,379","National","2017"
"Cases of malaria treated","Malaria","Timor-Leste","8","National","2018"
"Cases of malaria treated","Malaria","Timor-Leste","80","National","2017"
"Cases of malaria treated","Malaria","Togo","1,560,097","National","2018"
"Cases of malaria treated","Malaria","Togo","1,642,238","National","2017"
"Cases of malaria treated","Malaria","Uganda","6,623,702","National","2017"
"Cases of malaria treated","Malaria","Uganda","5,244,003","National","2018"
"Cases of malaria treated","Malaria","Viet Nam","4,525","National","2018"
"Cases of malaria treated","Malaria","Viet Nam","4,325","Subnational","2017"
"Cases of malaria treated","Malaria","Zambia","6,452,985","National","2017"
"Cases of malaria treated","Malaria","Zambia","4,773,010","National","2018"
"Cases of malaria treated","Malaria","Zanzibar","5,065","National","2018"
"Cases of malaria treated","Malaria","Zanzibar","2,793","National","2017"
"Cases of malaria treated","Malaria","Zimbabwe","709,130","National","2017"
"Cases of malaria treated","Malaria","Zimbabwe","76,551","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Bhutan","31","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Bhutan","59","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Bolivia (Plurinational State)","1","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Bolivia (Plurinational State)","4","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Botswana","35","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Cape Verde","21","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Cape Verde","446","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Cambodia","52","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Comoros","229","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Comoros","153","Subnational","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","El Salvador","2","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","El Salvador","4","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Eswatini","1,086","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Eswatini","622","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Guatemala","1,075","Subnational","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Guatemala","909","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Haiti","34","Subnational","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Haiti","189","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Honduras","554","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Honduras","1,116","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Indonesia","1,331","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Indonesia","2,510","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Iran (Islamic Republic)","533","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Korea (Democratic Peoples Republic)","1,880","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Korea (Democratic Peoples Republic)","304","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Lao (Peoples Democratic Republic)","31","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Lao (Peoples Democratic Republic)","40","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Myanmar","667","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Myanmar","1,062","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Namibia","28,507","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Namibia","31,344","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Nepal","1,015","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Nepal","411","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Nicaragua","15,932","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Nicaragua","10,928","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Paraguay","5","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Paraguay","3","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Philippines","61","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Sri Lanka","48","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Sri Lanka","57","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Suriname","432","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Suriname","280","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Thailand","14,264","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Thailand","5,164","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Timor-Leste","8","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Viet Nam","3,073","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Viet Nam","754","Subnational","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Zanzibar","3,092","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Zanzibar","3,216","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Zimbabwe","2,775","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Zimbabwe","3,320","Subnational","2017"
"Mosquito nets distributed","Malaria","Afghanistan","1,315,083","National","2018"
"Mosquito nets distributed","Malaria","Afghanistan","2,372,354","National","2017"
"Mosquito nets distributed","Malaria","Angola","3,614,745","Subnational","2018"
"Mosquito nets distributed","Malaria","Angola","3,945,520","Subnational","2017"
"Mosquito nets distributed","Malaria","Bangladesh","2,242,527","National","2017"
"Mosquito nets distributed","Malaria","Bangladesh","1,559,423","Subnational","2018"
"Mosquito nets distributed","Malaria","Benin","6,549,876","National","2017"
"Mosquito nets distributed","Malaria","Bhutan","117,398","National","2017"
"Mosquito nets distributed","Malaria","Bolivia (Plurinational State)","84,225","National","2018"
"Mosquito nets distributed","Malaria","Bolivia (Plurinational State)","23,708","National","2017"
"Mosquito nets distributed","Malaria","Burkina Faso","1,107,447","National","2018"
"Mosquito nets distributed","Malaria","Burundi","6,714,636","National","2017"
"Mosquito nets distributed","Malaria","Cambodia","1,183,794","National","2017"
"Mosquito nets distributed","Malaria","Cambodia","1,597,639","National","2018"
"Mosquito nets distributed","Malaria","Cameroon","338,683","National","2017"
"Mosquito nets distributed","Malaria","Central African Republic","864,677","National","2017"
"Mosquito nets distributed","Malaria","Central African Republic","670,898","National","2018"
"Mosquito nets distributed","Malaria","Chad","6,886,684","National","2017"
"Mosquito nets distributed","Malaria","Chad","323,300","National","2018"
"Mosquito nets distributed","Malaria","Comoros","27,137","National","2017"
"Mosquito nets distributed","Malaria","Comoros","29,587","National","2018"
"Mosquito nets distributed","Malaria","Democratic Republic of Congo","15,530,041","Subnational","2018"
"Mosquito nets distributed","Malaria","Democratic Republic of Congo","7,245,462","Subnational","2017"
"Mosquito nets distributed","Malaria","Côte d'Ivoire","13,216,717","National","2017"
"Mosquito nets distributed","Malaria","Côte d'Ivoire","924,105","National","2018"
"Mosquito nets distributed","Malaria","Djibouti","60,409","National","2017"
"Mosquito nets distributed","Malaria","Eritrea","149,817","National","2018"
"Mosquito nets distributed","Malaria","Eritrea","1,728,475","National","2017"
"Mosquito nets distributed","Malaria","Ethiopia","3,884,472","National","2018"
"Mosquito nets distributed","Malaria","Gambia","1,051,391","National","2017"
"Mosquito nets distributed","Malaria","Gambia","174,992","National","2018"
"Mosquito nets distributed","Malaria","Ghana","17,038,705","National","2018"
"Mosquito nets distributed","Malaria","Guatemala","80,907","National","2017"
"Mosquito nets distributed","Malaria","Guatemala","389,805","National","2018"
"Mosquito nets distributed","Malaria","Guinea","660,861","National","2018"
"Mosquito nets distributed","Malaria","Guinea","484,425","National","2017"
"Mosquito nets distributed","Malaria","Guinea-Bissau","1,217,187","National","2017"
"Mosquito nets distributed","Malaria","Guinea-Bissau","90,395","National","2018"
"Mosquito nets distributed","Malaria","Guyana","43,181","National","2017"
"Mosquito nets distributed","Malaria","Haiti","1,384","National","2018"
"Mosquito nets distributed","Malaria","Haiti","695,804","Subnational","2017"
"Mosquito nets distributed","Malaria","Honduras","53,917","National","2018"
"Mosquito nets distributed","Malaria","Honduras","24,066","National","2017"
"Mosquito nets distributed","Malaria","India","26,106,825","Subnational","2017"
"Mosquito nets distributed","Malaria","Indonesia","2,347,408","National","2017"
"Mosquito nets distributed","Malaria","Indonesia","86,523","National","2018"
"Mosquito nets distributed","Malaria","Kenya","13,611,231","National","2017"
"Mosquito nets distributed","Malaria","Lao (Peoples Democratic Republic)","77,455","Subnational","2017"
"Mosquito nets distributed","Malaria","Lao (Peoples Democratic Republic)","30,776","National","2018"
"Mosquito nets distributed","Malaria","Liberia","2,519,640","National","2018"
"Mosquito nets distributed","Malaria","Liberia","157,773","National","2017"
"Mosquito nets distributed","Malaria","Madagascar","933,989","Subnational","2017"
"Mosquito nets distributed","Malaria","Madagascar","9,935,678","Subnational","2018"
"Mosquito nets distributed","Malaria","Malawi","11,581,832","National","2018"
"Mosquito nets distributed","Malaria","Mali","4,198,671","National","2017"
"Mosquito nets distributed","Malaria","Mali","2,731,253","National","2018"
"Mosquito nets distributed","Malaria","Mozambique","12,901,936","National","2017"
"Mosquito nets distributed","Malaria","Myanmar","4,059,579","Subnational","2017"
"Mosquito nets distributed","Malaria","Myanmar","776,365","National","2018"
"Mosquito nets distributed","Malaria","Nepal","451,776","National","2017"
"Mosquito nets distributed","Malaria","Nepal","655,215","National","2018"
"Mosquito nets distributed","Malaria","Nicaragua","47,301","National","2018"
"Mosquito nets distributed","Malaria","Nicaragua","20,392","National","2017"
"Mosquito nets distributed","Malaria","Niger","4,302,520","National","2017"
"Mosquito nets distributed","Malaria","Niger","4,040,602","National","2018"
"Mosquito nets distributed","Malaria","Nigeria","27,017,164","National","2018"
"Mosquito nets distributed","Malaria","Nigeria","18,060,419","Subnational","2017"
"Mosquito nets distributed","Malaria","Oceania","91,028","National","2017"
"Mosquito nets distributed","Malaria","Oceania","27,151","National","2018"
"Mosquito nets distributed","Malaria","Pakistan","3,687,410","Subnational","2018"
"Mosquito nets distributed","Malaria","Pakistan","869,173","National","2017"
"Mosquito nets distributed","Malaria","Papua New Guinea","1,219,618","National","2018"
"Mosquito nets distributed","Malaria","Papua New Guinea","1,694,315","National","2017"
"Mosquito nets distributed","Malaria","Philippines","338,824","National","2018"
"Mosquito nets distributed","Malaria","Philippines","1,126,494","National","2017"
"Mosquito nets distributed","Malaria","Sao Tome and Principe","15,151","National","2017"
"Mosquito nets distributed","Malaria","Sao Tome and Principe","143,150","National","2018"
"Mosquito nets distributed","Malaria","Senegal","325,991","National","2018"
"Mosquito nets distributed","Malaria","Sierra Leone","4,616,962","National","2017"
"Mosquito nets distributed","Malaria","Sierra Leone","245,744","National","2018"
"Mosquito nets distributed","Malaria","Somalia","2,566,948","National","2017"
"Mosquito nets distributed","Malaria","Somalia","357,569","National","2018"
"Mosquito nets distributed","Malaria","South Sudan","564,071","National","2018"
"Mosquito nets distributed","Malaria","South Sudan","1,841,086","National","2017"
"Mosquito nets distributed","Malaria","Sudan","5,741,449","National","2017"
"Mosquito nets distributed","Malaria","Sudan","3,315,813","Subnational","2018"
"Mosquito nets distributed","Malaria","Suriname","6,022","Subnational","2017"
"Mosquito nets distributed","Malaria","United Republic of Tanzania","3,042,702","Subnational","2017"
"Mosquito nets distributed","Malaria","United Republic of Tanzania","5,734,805","Subnational","2018"
"Mosquito nets distributed","Malaria","Thailand","93,658","National","2018"
"Mosquito nets distributed","Malaria","Thailand","1,017,766","National","2017"
"Mosquito nets distributed","Malaria","Timor-Leste","39,904","National","2018"
"Mosquito nets distributed","Malaria","Timor-Leste","334,471","National","2017"
"Mosquito nets distributed","Malaria","Togo","221,581","National","2018"
"Mosquito nets distributed","Malaria","Togo","4,631,834","National","2017"
"Mosquito nets distributed","Malaria","Uganda","2,020,730","National","2018"
"Mosquito nets distributed","Malaria","Uganda","23,399,302","National","2017"
"Mosquito nets distributed","Malaria","Viet Nam","1,443,000","National","2017"
"Mosquito nets distributed","Malaria","Western Asia","415,763","National","2017"
"Mosquito nets distributed","Malaria","Western Asia","2,122,902","National","2018"
"Mosquito nets distributed","Malaria","Zambia","6,034,157","National","2017"
"Mosquito nets distributed","Malaria","Zambia","476,055","National","2018"
"Mosquito nets distributed","Malaria","Zanzibar","177,794","National","2018"
"Mosquito nets distributed","Malaria","Zimbabwe","1,165,462","National","2018"
"Mosquito nets distributed","Malaria","Zimbabwe","294,350","National","2017"
"Households covered by indoor residual spraying","Malaria","Botswana","73,059","National","2018"
"Households covered by indoor residual spraying","Malaria","Botswana","73,547","National","2017"
"Households covered by indoor residual spraying","Malaria","Burundi","119,321","Subnational","2017"
"Households covered by indoor residual spraying","Malaria","Cape Verde","105,114","National","2017"
"Households covered by indoor residual spraying","Malaria","El Salvador","3,686","National","2017"
"Households covered by indoor residual spraying","Malaria","El Salvador","2,610","National","2018"
"Households covered by indoor residual spraying","Malaria","Eritrea","116,776","National","2018"
"Households covered by indoor residual spraying","Malaria","Eritrea","121,509","National","2017"
"Households covered by indoor residual spraying","Malaria","Eswatini","31,444","National","2018"
"Households covered by indoor residual spraying","Malaria","Ethiopia","1,989,818","National","2018"
"Households covered by indoor residual spraying","Malaria","Ethiopia","3,214,963","National","2017"
"Households covered by indoor residual spraying","Malaria","Gambia","53,348","National","2018"
"Households covered by indoor residual spraying","Malaria","Gambia","49,568","National","2017"
"Households covered by indoor residual spraying","Malaria","Ghana","191,109","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Honduras","52,480","National","2018"
"Households covered by indoor residual spraying","Malaria","Honduras","39,247","National","2017"
