"Indicator","Component","Location","Result","Geographic Coverage","Period"
"Households covered by indoor residual spraying","Malaria","Iran (Islamic Republic)","126,111","National","2017"
"Households covered by indoor residual spraying","Malaria","Korea (Democratic Peoples Republic)","295,480","National","2018"
"Households covered by indoor residual spraying","Malaria","Mozambique","935,862","National","2018"
"Households covered by indoor residual spraying","Malaria","Mozambique","978,281","National","2017"
"Households covered by indoor residual spraying","Malaria","Rwanda","639,932","Subnational","2017"
"Households covered by indoor residual spraying","Malaria","Rwanda","499,652","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Sao Tome and Principe","37,455","National","2018"
"Households covered by indoor residual spraying","Malaria","Sao Tome and Principe","27,065","National","2017"
"Households covered by indoor residual spraying","Malaria","Sudan","727,967","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Sudan","1,439,547","National","2017"
"Households covered by indoor residual spraying","Malaria","Timor-Leste","14,014","National","2018"
"Households covered by indoor residual spraying","Malaria","Zambia","1,775,301","National","2017"
"Households covered by indoor residual spraying","Malaria","Zambia","1,596,898","National","2018"
"Households covered by indoor residual spraying","Malaria","Zanzibar","67,450","National","2018"
"Households covered by indoor residual spraying","Malaria","Zanzibar","38,884","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Afghanistan","1,048,242","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Afghanistan","1,143,108","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Angola","11,650,141","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Angola","14,556,370","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Bangladesh","986,442","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Bangladesh","1,201,846","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Benin","615,619","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Benin","171,963","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Bolivia (Plurinational State)","113,057","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Bolivia (Plurinational State)","153,978","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Botswana","2,622","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Botswana","6,933","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burkina Faso","8,798,054","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Burkina Faso","9,702,954","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burundi","10,060,448","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burundi","12,300,771","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cape Verde","9,588","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Cape Verde","16,573","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cambodia","278,266","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Cambodia","343,075","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cameroon","2,128,082","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cameroon","3,518,453","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Central African Republic","1,346,224","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Central African Republic","1,375,337","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Chad","1,962,673","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Chad","1,881,312","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Comoros","185,940","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Comoros","239,865","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Democratic Republic of Congo","13,730,094","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Democratic Republic of Congo","15,844,984","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Côte d'Ivoire","6,508,048","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Côte d'Ivoire","3,271,763","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Djibouti","75,594","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Djibouti","104,800","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Eswatini","18,412","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ethiopia","5,889,896","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Ethiopia","3,826,907","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Gambia","649,764","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Gambia","749,062","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ghana","7,113,626","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ghana","8,902,711","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guatemala","627,401","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guatemala","372,158","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea","2,134,910","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea","2,606,389","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea-Bissau","462,567","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea-Bissau","469,336","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guyana","94,546","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Haiti","276,803","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Haiti","322,400","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Honduras","128,732","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","India","11,274,034","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Indonesia","1,196,058","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Indonesia","1,575,471","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Kenya","308,559","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Korea (Democratic Peoples Republic)","2,343","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Korea (Democratic Peoples Republic)","14,492","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Lao (Peoples Democratic Republic)","287,299","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Lao (Peoples Democratic Republic)","254,791","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Liberia","1,794,810","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Liberia","1,848,060","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Madagascar","2,140,322","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Madagascar","2,105,962","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Malawi","9,424,892","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Malawi","12,946,379","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Mali","3,481,271","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Mali","2,558,573","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Mauritania","28,197","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Mauritania","70,698","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Mozambique","18,740,962","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Mozambique","15,781,287","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Myanmar","2,440,933","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Myanmar","797,820","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Namibia","388,367","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Namibia","374,699","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Nepal","192,432","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Nepal","170,898","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Nicaragua","530,744","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Nicaragua","396,802","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Niger","4,698,608","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Niger","4,036,066","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Nigeria","18,075,525","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Nigeria","16,028,683","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Pakistan","4,297,812","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Papua New Guinea","881,267","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Papua New Guinea","326,714","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Philippines","418,592","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Philippines","282,805","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Rwanda","10,326,447","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Rwanda","1,584,922","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Sao Tome and Principe","169,883","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Sao Tome and Principe","99,023","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Senegal","1,857,063","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Senegal","1,488,852","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Sierra Leone","2,174,578","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Sierra Leone","3,536,020","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Somalia","210,051","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Somalia","324,210","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","South Sudan","1,303,698","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","South Sudan","1,806,178","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Sudan","30,951","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Suriname","10,556","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","United Republic of Tanzania","16,101,629","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","United Republic of Tanzania","19,232,653","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Thailand","946,376","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Timor-Leste","138,574","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Timor-Leste","141,429","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Togo","2,346,544","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Togo","2,709,255","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Uganda","13,608,828","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Uganda","18,550,676","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Viet Nam","1,159,107","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Viet Nam","1,598,090","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Zambia","11,699,070","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Zambia","11,797,397","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Zanzibar","368,676","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Zanzibar","384,506","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Zimbabwe","1,287,485","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Zimbabwe","2,543,146","Subnational","2017"
"Malaria foci fully investigated and classified","Malaria","Bhutan","3","National","2018"
"Malaria foci fully investigated and classified","Malaria","Bhutan","8","National","2017"
"Malaria foci fully investigated and classified","Malaria","Bolivia (Plurinational State)","19","National","2018"
"Malaria foci fully investigated and classified","Malaria","Cape Verde","3","National","2018"
"Malaria foci fully investigated and classified","Malaria","Cape Verde","18","National","2017"
"Malaria foci fully investigated and classified","Malaria","El Salvador","4","National","2017"
"Malaria foci fully investigated and classified","Malaria","El Salvador","6","National","2018"
"Malaria foci fully investigated and classified","Malaria","Eswatini","235","National","2018"
"Malaria foci fully investigated and classified","Malaria","Guatemala","69","National","2018"
"Malaria foci fully investigated and classified","Malaria","Guatemala","48","National","2017"
"Malaria foci fully investigated and classified","Malaria","Haiti","262","National","2018"
"Malaria foci fully investigated and classified","Malaria","Haiti","26","National","2017"
"Malaria foci fully investigated and classified","Malaria","Indonesia","1","National","2017"
"Malaria foci fully investigated and classified","Malaria","Iran (Islamic Republic)","53","National","2017"
"Malaria foci fully investigated and classified","Malaria","Korea (Democratic Peoples Republic)","3","National","2017"
"Malaria foci fully investigated and classified","Malaria","Lao (Peoples Democratic Republic)","23","National","2018"
"Malaria foci fully investigated and classified","Malaria","Myanmar","19","National","2017"
"Malaria foci fully investigated and classified","Malaria","Myanmar","76","National","2018"
"Malaria foci fully investigated and classified","Malaria","Nepal","91","National","2018"
"Malaria foci fully investigated and classified","Malaria","Nicaragua","50","Subnational","2018"
"Malaria foci fully investigated and classified","Malaria","Suriname","1","National","2018"
"Malaria foci fully investigated and classified","Malaria","Thailand","1,365","National","2018"
"Malaria foci fully investigated and classified","Malaria","Thailand","260","National","2017"
"Malaria foci fully investigated and classified","Malaria","Timor-Leste","1","National","2018"
"Malaria foci fully investigated and classified","Malaria","Viet Nam","225","National","2017"
"Malaria foci fully investigated and classified","Malaria","Viet Nam","724","National","2018"
"Malaria foci fully investigated and classified","Malaria","Zanzibar","4,432","National","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Burkina Faso","3,393,977","National","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Cameroon","1,505,372","Subnational","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Chad","282,287","National","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Chad","330,493","Subnational","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Ghana","328,707","Subnational","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Guinea","479,465","National","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Guinea","713,807","National","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Guinea-Bissau","68,889","Subnational","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Mali","638,571","National","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Mali","1,266,732","National","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Niger","1,283,327","Subnational","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Niger","3,585,261","National","2018"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Togo","259,964","Subnational","2017"
"Children who received seasonal malaria chemoprophylaxis","Malaria","Togo","414,679","Subnational","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Angola","140,909","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Burundi","276,392","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Burundi","239,687","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Cameroon","112,956","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Cameroon","260,726","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Central African Republic","40,352","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Central African Republic","52,257","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Chad","144,715","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Chad","127,660","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Democratic Republic of Congo","954,455","Subnational","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Democratic Republic of Congo","1,347,460","Subnational","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Côte d'Ivoire","379,894","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Côte d'Ivoire","508,986","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Gambia","43,765","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Ghana","435,536","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Ghana","405,266","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Guinea","140,139","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Guinea","327,408","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Guinea-Bissau","11,830","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Guinea-Bissau","20,407","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Liberia","69,899","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Liberia","28,486","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Madagascar","160,277","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Madagascar","145,469","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Mali","183,610","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Mali","249,429","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Mozambique","654,800","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Niger","536,787","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Niger","392,404","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Nigeria","1,103,897","Subnational","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Nigeria","1,975,001","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Senegal","240,128","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Sierra Leone","82,379","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","South Sudan","119,453","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","South Sudan","127,901","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","United Republic of Tanzania","1,233,317","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Togo","96,722","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Togo","70,095","National","2017"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Uganda","591,531","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Zambia","382,582","National","2018"
"Pregnant women attending antenatal clinics who received intermittent preventive treatment for malaria","Malaria","Zimbabwe","49,836","National","2018"